step,score
0,73
1,37
2,21
3,22
4,24
5,32
6,113
7,53
8,20
9,20
10,8
11,8
12,26
13,19
14,22
15,24
16,36
17,45
18,84
19,77
20,46
21,56
22,59
23,364
24,143
25,396
26,414
27,272
28,301
29,287
30,176
31,90
32,8
33,9
34,7
35,12
36,49
37,154
38,116
39,113
40,149
41,168
42,190
43,202
44,185
45,182
46,188
47,157
48,302
49,135
50,151
51,157
52,151
53,170
54,145
55,163
56,155
57,158
58,143
59,164
60,147
61,177
62,164
63,167
64,152
65,201
66,173
67,161
68,165
69,177
70,189
71,202
72,195
73,180
74,168
75,209
76,159
77,157
78,175
79,147
80,210
81,190
82,148
83,178
84,175
85,154
86,159
87,163
88,197
89,187
90,156
91,188
92,154
93,192
94,188
95,163
96,192
97,144
98,166
99,159
100,186
101,171
102,164
103,161
104,146
105,142
106,158
107,197
108,160
109,168
110,148
111,165
112,167
113,169
114,170
115,155
116,174
117,169
118,164
119,152
120,150
121,144
122,143
123,170
124,151
125,197
126,152
127,139
128,148
129,153
130,136
131,123
132,135
133,139
134,176
135,185
136,155
137,199
138,170
139,169
140,144
141,167
142,162
143,204
144,124
145,178
146,131
147,194
148,170
149,150
150,179
151,180
152,181
153,134
154,191
155,209
156,184
157,176
158,157
159,190
160,164
161,189
162,169
163,87
164,59
165,18
166,9
167,266
168,475
169,205
170,274
171,182
172,210
173,203
174,186
175,136
176,148
177,174
178,166
179,161
180,171
181,145
182,178
183,180
184,186
185,213
186,167
187,164
188,141
189,159
190,112
191,10
192,55
193,11
194,15
195,32
196,10
197,9
198,8
199,8
200,10
201,158
202,212
203,177
204,165
205,158
206,150
207,146
208,177
209,169
210,206
211,201
212,165
213,208
214,189
215,185
216,175
217,194
218,178
219,184
220,169
221,210
222,186
223,203
224,204
225,213
226,195
227,217
228,207
229,199
230,227
231,187
232,198
233,186
234,214
235,194
236,201
237,222
238,189
239,200
240,204
241,186
242,203
243,180
244,196
245,203
246,169
247,200
248,206
249,163
250,213
251,214
252,166
253,175
254,223
255,208
256,194
257,196
258,232
259,186
260,173
261,161
262,154
263,174
264,159
265,21
266,26
267,10
268,141
269,120
270,244
271,220
272,202
273,215
274,183
275,208
276,196
277,169
278,231
279,282
280,203
281,221
282,213
283,243
284,242
285,221
286,290
287,260
