step,score
0,-500.0
1,-500.0
2,-413.0
3,-148.0
4,-396.0
5,-357.0
6,-336.0
7,-125.0
8,-405.0
9,-211.0
10,-285.0
11,-177.0
12,-241.0
13,-399.0
14,-320.0
15,-135.0
16,-170.0
17,-230.0
18,-495.0
19,-500.0
20,-294.0
21,-500.0
22,-311.0
23,-500.0
24,-102.0
25,-355.0
26,-417.0
27,-347.0
28,-378.0
29,-165.0
30,-144.0
31,-213.0
32,-500.0
33,-149.0
34,-147.0
35,-248.0
36,-200.0
37,-156.0
38,-224.0
39,-132.0
40,-165.0
41,-107.0
42,-109.0
43,-335.0
44,-202.0
45,-119.0
46,-103.0
47,-101.0
48,-133.0
49,-107.0
50,-87.0
51,-89.0
52,-291.0
53,-243.0
54,-115.0
55,-425.0
56,-144.0
57,-181.0
58,-144.0
59,-117.0
60,-97.0
61,-124.0
62,-80.0
63,-123.0
64,-144.0
65,-93.0
66,-75.0
67,-133.0
68,-120.0
69,-109.0
70,-144.0
71,-102.0
72,-98.0
73,-140.0
74,-224.0
75,-273.0
76,-121.0
77,-152.0
78,-122.0
79,-98.0
80,-107.0
81,-138.0
82,-193.0
83,-116.0
84,-138.0
85,-152.0
86,-150.0
87,-141.0
88,-208.0
89,-116.0
90,-101.0
91,-145.0
92,-126.0
93,-379.0
94,-136.0
95,-183.0
96,-95.0
97,-82.0
98,-135.0
99,-141.0
100,-162.0
101,-149.0
102,-182.0
103,-157.0
104,-104.0
105,-103.0
106,-171.0
107,-152.0
108,-111.0
109,-419.0
110,-113.0
111,-102.0
112,-100.0
113,-94.0
114,-381.0
115,-149.0
116,-105.0
117,-164.0
118,-227.0
119,-370.0
120,-497.0
121,-283.0
122,-212.0
123,-152.0
124,-218.0
125,-240.0
126,-146.0
127,-135.0
128,-99.0
129,-88.0
130,-119.0
131,-94.0
132,-152.0
133,-139.0
134,-131.0
135,-182.0
136,-237.0
137,-171.0
138,-350.0
139,-228.0
140,-163.0
141,-235.0
142,-138.0
143,-136.0
144,-301.0
145,-202.0
146,-128.0
147,-125.0
148,-187.0
149,-144.0
150,-146.0
151,-140.0
152,-147.0
153,-198.0
154,-108.0
155,-137.0
156,-124.0
157,-207.0
158,-127.0
