step,score
0,-500.0
1,-500.0
2,-201.0
3,-418.0
4,-263.0
5,-271.0
6,-131.0
7,-342.0
8,-156.0
9,-167.0
10,-111.0
11,-112.0
12,-91.0
13,-131.0
14,-183.0
15,-105.0
16,-174.0
17,-128.0
18,-114.0
19,-232.0
20,-187.0
21,-163.0
22,-146.0
23,-480.0
24,-209.0
25,-146.0
26,-165.0
27,-165.0
28,-95.0
29,-183.0
30,-381.0
31,-127.0
32,-256.0
33,-127.0
34,-192.0
35,-198.0
36,-174.0
37,-165.0
38,-129.0
39,-187.0
40,-125.0
41,-120.0
42,-209.0
43,-111.0
44,-107.0
45,-141.0
46,-183.0
47,-162.0
48,-143.0
49,-97.0
50,-139.0
51,-288.0
52,-254.0
53,-177.0
54,-147.0
55,-328.0
56,-118.0
57,-140.0
58,-307.0
59,-215.0
60,-352.0
61,-167.0
62,-466.0
63,-500.0
64,-124.0
65,-247.0
66,-409.0
67,-153.0
68,-199.0
69,-206.0
70,-143.0
71,-165.0
72,-157.0
73,-132.0
74,-164.0
75,-306.0
76,-182.0
77,-117.0
78,-140.0
79,-100.0
80,-199.0
81,-118.0
82,-294.0
83,-187.0
84,-91.0
85,-99.0
86,-193.0
87,-118.0
88,-140.0
89,-255.0
90,-204.0
91,-89.0
92,-77.0
93,-190.0
94,-110.0
95,-185.0
96,-92.0
97,-91.0
98,-135.0
99,-90.0
100,-104.0
101,-165.0
102,-105.0
103,-107.0
104,-124.0
105,-188.0
106,-161.0
107,-119.0
108,-132.0
109,-166.0
110,-161.0
111,-251.0
112,-86.0
113,-121.0
114,-154.0
115,-80.0
116,-87.0
117,-185.0
118,-162.0
119,-138.0
120,-86.0
121,-178.0
122,-188.0
123,-122.0
124,-161.0
125,-188.0
126,-138.0
127,-119.0
128,-104.0
129,-157.0
130,-161.0
131,-147.0
132,-185.0
133,-233.0
134,-269.0
135,-166.0
136,-146.0
137,-222.0
138,-191.0
139,-136.0
140,-117.0
141,-147.0
142,-148.0
143,-167.0
144,-170.0
145,-112.0
146,-218.0
147,-184.0
148,-192.0
149,-214.0
150,-156.0
151,-195.0
152,-174.0
153,-117.0
154,-108.0
155,-161.0
156,-113.0
157,-134.0
158,-236.0
